File,Model,Orig Theorem Name,Mut Theorem Name,Orig Statement,Mut Statement,Original Compiles,Original Failed,Mutated Compiles,Mutated Failed
AltAuto_orig.v,llama3.1,re_opt_e_match,UkVnviW,"Lemma re_opt_e_match : forall T (re: reg_exp T) s, s =~ re -> s =~ re_opt_e re.","Lemma UkVnviW : forall T (re: reg_exp T) s, s =~ re -> s =~ dE'HryMiwDpJhTk re.",False,False,False,False
AltAuto_orig.v,llama3.1,silly1,NQTEXsY5ORzv,"Theorem silly1 : forall n, 1 + n = S n.","Theorem NQTEXsY5ORzv : forall n, 1 + n = S n.",False,False,True,False
AltAuto_orig.v,llama3.1,silly2,UcLKCBVEmlAhFsFw,"Theorem silly2 : forall (P : Prop), P -> P.","Theorem UcLKCBVEmlAhFsFw : forall (P : Prop), P -> P.",True,False,True,False
AltAuto_orig.v,llama3.1,simple_semi,N9cGl9ZG9fY0kZj9,"Lemma simple_semi : forall n, (n + 1 =? 0) = false.","Lemma N9cGl9ZG9fY0kZj9 : forall n, (n + 1 =? 0) = false.",False,False,False,False
AltAuto_orig.v,llama3.1,simple_semi',RHE0hpa,"Lemma simple_semi' : forall n, (n + 1 =? 0) = false.","Lemma RHE0hpa : forall n, (n + 1 =? 0) = false.",True,False,True,False
AltAuto_orig.v,llama3.1,simple_semi'',YgCax89Pqn8Q1,"Lemma simple_semi'' : forall n, (n + 1 =? 0) = false.","Lemma YgCax89Pqn8Q1 : forall n, (n + 1 =? 0) = false.",False,True,True,False
AltAuto_orig.v,llama3.1,andb_eq_orb,byX5BJ3jyYZqFUWO3,"Theorem andb_eq_orb : forall (b c : bool), (andb b c = orb b c) -> b = c.","Theorem byX5BJ3jyYZqFUWO3 : forall (b c : bool), (andb b c = orb b c) -> b = c.",False,False,False,False
AltAuto_orig.v,llama3.1,add_assoc,C0jYZokPfc6B,"Theorem add_assoc : forall n m p : nat, n + (m + p) = (n + m) + p.","Theorem C0jYZokPfc6B : forall n m p : nat, n + (m + p) = (n + m) + p.",False,False,False,False
AltAuto_orig.v,llama3.1,nonzeros_app,EzGZ7K'WmlK2E2,"Lemma nonzeros_app : forall lst1 lst2 : list nat, nonzeros (lst1 ++ lst2) = (nonzeros lst1) ++ (nonzeros lst2).","Lemma EzGZ7K'WmlK2E2 : forall lst1 lst2 : list nat, dF70_a1OdWu (lst1 ++ lst2) = (dF70_a1OdWu lst1) ++ (dF70_a1OdWu lst2).",False,False,False,False
AltAuto_orig.v,llama3.1,re_opt_e_match',NDinouuVw3bKwscWv,"Lemma re_opt_e_match' : forall T (re: reg_exp T) s, s =~ re -> s =~ re_opt_e re.","Lemma NDinouuVw3bKwscWv : forall T (re: reg_exp T) s, s =~ re -> s =~ dE'HryMiwDpJhTk re.",True,False,True,False
AltAuto_orig.v,llama3.1,app_length,njrr1dH_c,"Theorem app_length : forall (X : Type) (lst1 lst2 : list X), length (lst1 ++ lst2) = (length lst1) + (length lst2).","Theorem njrr1dH_c : forall (X : Type) (lst1 lst2 : list X), length (lst1 ++ lst2) = (length lst1) + (length lst2).",True,False,False,False
AltAuto_orig.v,llama3.1,app_length',CHPS8kjLdkN8IN,"Theorem app_length' : forall (X : Type) (lst1 lst2 : list X), length (lst1 ++ lst2) = (length lst1) + (length lst2).","Theorem CHPS8kjLdkN8IN : forall (X : Type) (lst1 lst2 : list X), length (lst1 ++ lst2) = (length lst1) + (length lst2).",True,False,True,False
AltAuto_orig.v,llama3.1,add_assoc',at0NL9hhf,"Theorem add_assoc' : forall n m p : nat, n + (m + p) = (n + m) + p.","Theorem at0NL9hhf : forall n m p : nat, n + (m + p) = (n + m) + p.",False,False,False,False
AltAuto_orig.v,llama3.1,re_opt_e_match'',B2wUdy5GpbitDdBs,"Lemma re_opt_e_match'' : forall T (re: reg_exp T) s, s =~ re -> s =~ re_opt_e re.","Lemma B2wUdy5GpbitDdBs : forall T (re: reg_exp T) s, s =~ re -> s =~ dE'HryMiwDpJhTk re.",True,False,True,False
AltAuto_orig.v,llama3.1,In10,JOsbVzzL3fpEa,Theorem In10 : In 10 [1;2;3;4;5;6;7;8;9;10].,Theorem JOsbVzzL3fpEa : In 10 [1;2;3;4;5;6;7;8;9;10].,False,False,False,False
AltAuto_orig.v,llama3.1,In10',gL2DFSdsfrg,Theorem In10' : In 10 [1;2;3;4;5;6;7;8;9;10].,Theorem gL2DFSdsfrg : In 10 [1;2;3;4;5;6;7;8;9;10].,False,False,True,False
